timestamp,host,rtt_ms,loss_total,sent_total,avg_rtt_ms,min_rtt_ms,max_rtt_ms
2026-04-09 07:02:49.132,10.45.0.26,25.4,3,619,55.08,7.09,231.0
2026-04-09 07:02:49.260,10.45.0.26,27.3,3,620,55.04,7.09,231.0
2026-04-09 07:02:49.392,10.45.0.26,27.1,3,621,54.99,7.09,231.0
2026-04-09 07:02:49.522,10.45.0.26,36.4,3,622,54.96,7.09,231.0
2026-04-09 07:02:49.661,10.45.0.26,11.4,3,623,54.89,7.09,231.0
2026-04-09 07:02:49.776,10.45.0.26,43.1,3,624,54.87,7.09,231.0
2026-04-09 07:02:49.923,10.45.0.26,30.4,3,625,54.83,7.09,231.0
2026-04-09 07:02:50.057,10.45.0.26,47.3,3,626,54.82,7.09,231.0
2026-04-09 07:02:50.207,10.45.0.26,30.6,3,627,54.78,7.09,231.0
2026-04-09 07:02:50.342,10.45.0.26,36.2,3,628,54.75,7.09,231.0
2026-04-09 07:02:50.481,10.45.0.26,32.8,3,629,54.72,7.09,231.0
2026-04-09 07:02:50.618,10.45.0.26,37.5,3,630,54.69,7.09,231.0
2026-04-09 07:02:50.758,10.45.0.26,117.0,3,631,54.79,7.09,231.0
2026-04-09 07:02:50.977,10.45.0.26,11.7,3,632,54.72,7.09,231.0
2026-04-09 07:02:51.093,10.45.0.26,81.2,3,633,54.76,7.09,231.0
2026-04-09 07:02:51.277,10.45.0.26,20.2,3,634,54.71,7.09,231.0
2026-04-09 07:02:51.402,10.45.0.26,16.4,3,635,54.65,7.09,231.0
2026-04-09 07:02:51.522,10.45.0.26,77.0,3,636,54.68,7.09,231.0
2026-04-09 07:02:51.702,10.45.0.26,15.7,3,637,54.62,7.09,231.0
2026-04-09 07:02:51.821,10.45.0.26,32.0,3,638,54.59,7.09,231.0
2026-04-09 07:02:51.957,10.45.0.26,35.8,3,639,54.56,7.09,231.0
2026-04-09 07:02:52.097,10.45.0.26,22.3,3,640,54.51,7.09,231.0
2026-04-09 07:02:52.222,10.45.0.26,26.3,3,641,54.46,7.09,231.0
2026-04-09 07:02:52.352,10.45.0.26,26.8,3,642,54.42,7.09,231.0
2026-04-09 07:02:52.482,10.45.0.26,26.8,3,643,54.37,7.09,231.0
2026-04-09 07:02:52.612,10.45.0.26,45.7,3,644,54.36,7.09,231.0
2026-04-09 07:02:52.761,10.45.0.26,158.0,3,645,54.52,7.09,231.0
